threads,time
3
87
117
106
103
231
130
244
84
79
1089
954
3385
4623
8449
15266
19990
31820
37757
133394
379840
786655
1189781
10,4.000000
20,1.000000
30,2.000000
40,5.000000
50,10.000000
60,33.000000
70,20.000000
80,39.000000
90,39.000000
100,83.000000
200,594.000000
300,1283.000000
400,2780.000000
500,5132.000000
600,8870.000000
700,15367.000000
800,21209.000000
900,29639.000000
1000,41679.000000
1500,154646.000000
2000,284864.000000
