threads,time
10,0
20,0
30,0
40,1
50,2
60,3
70,5
80,8
90,12
100,16
200,133
300,502
400,1213
500,2213
600,3943
700,6693
800,10041
900,14156
1000,18852
1500,84494
2000,194601
2500,401308
3000,916686
10,0.000000
20,0.000000
30,0.000000
40,1.000000
50,2.000000
60,3.000000
70,5.000000
80,8.000000
90,14.000000
100,16.000000
200,132.000000
300,455.000000
400,1168.000000
500,2299.000000
600,4155.000000
700,7570.000000
800,11252.000000
900,15622.000000
1000,20728.000000
1500,98624.000000
